Source Player,Source Short form,Innovation Phase,source,Source Intervension,source filter,Target Player,Target innovation Phase,Target filter,Target short form,target,Target intervention
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Semiconductor manufacturing,E,Semiconductor manufacturingSkills exchange programs,I,I-Skills exchange programs,Skills exchange programs
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,E,G-Skills exchange programs,Skills exchange programs,Government & RegulatorsSkills exchange programs,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Government & Regulators,F,Government & RegulatorsInfrastructure creation,G,G-Infrastructure creation,Infrastructure creation
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,E,G-Standard Setting,Standard Setting,Government & RegulatorsStandard Setting,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,F,Semiconductor manufacturingJoint Ventures,I,I-Joint Ventures,Joint Ventures
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Education and Research Institutions,F,Education and Research InstitutionsJoint Ventures,A,A-Joint Ventures,Joint Ventures
Government & Regulators,G,F,G-Commercialization Funds,Commercialization Funds,Government & RegulatorsCommercialization Funds,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Government & Regulators,G,F,G-Direct R&D Funding,Direct R&D Funding,Government & RegulatorsDirect R&D Funding,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,F,G-Infrastructure creation,Infrastructure creation,Government & RegulatorsInfrastructure creation,Semiconductor manufacturing,F,Semiconductor manufacturingStock sales,I,I-Stock sales,Stock sales
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,F,Semiconductor manufacturingVenture Capital ,I,I-Venture Capital ,Venture Capital 
Government & Regulators,G,F,G-Loan guarantees,Loan guarantees,Government & RegulatorsLoan guarantees,Semiconductor manufacturing,F,Semiconductor manufacturingLoans and debt financing,I,I-Loans and debt financing,Loans and debt financing
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Semiconductor manufacturing,F,Semiconductor manufacturingLoans and debt financing,I,I-Loans and debt financing,Loans and debt financing
Government & Regulators,G,F,G-Loans and debt financing,Loans and debt financing,Government & RegulatorsLoans and debt financing,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Government & Regulators,R,Government & RegulatorsLab Research,G,G-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,F,G-Research Grants,Research Grants,Government & RegulatorsResearch Grants,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,R,Semiconductor manufacturingLab Research,I,I-Lab Research,Lab Research
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,F,Semiconductor manufacturingDirect R&D Funding,I,I-Direct R&D Funding,Direct R&D Funding
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Government & Regulators,G,F,G-Tax credits and incentives,Tax credits and incentives,Government & RegulatorsTax credits and incentives,Education and Research Institutions,R,Education and Research InstitutionsLab Research,A,A-Lab Research,Lab Research
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Government & Regulators,M,Government & RegulatorsForums to define problems and approach,G,G-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Semiconductor manufacturing,R,Semiconductor manufacturingData Sharing,I,I-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Semiconductor manufacturing,M,Semiconductor manufacturingCollaborator pull,I,I-Collaborator pull,Collaborator pull
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Education and Research Institutions,R,Education and Research InstitutionsData Sharing,A,A-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Education and Research Institutions,M,Education and Research InstitutionsCollaborator pull,A,A-Collaborator pull,Collaborator pull
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Industry Associations and Alliances,R,Industry Associations and AlliancesData Sharing,OAssoc,OAssoc-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Industry Associations and Alliances,F,Industry Associations and AlliancesPhilanthropic donors,OAssoc,OAssoc-Philanthropic donors,Philanthropic donors
Government & Regulators,G,M,G-Collaborator Pull,Collaborator Pull,Government & RegulatorsCollaborator Pull,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,E,Government & RegulatorsSkills exchange programs,G,G-Skills exchange programs,Skills exchange programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,E,Government & RegulatorsStandard Setting,G,G-Standard Setting,Standard Setting
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsNational Strategy,G,G-National Strategy,National Strategy
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsRegulatory approval and oversight,G,G-Regulatory approval and oversight,Regulatory approval and oversight
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsCollaborator Pull,G,G-Collaborator Pull,Collaborator Pull
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsWorkforce development programs,G,G-Workforce development programs,Workforce development programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsTrade agreements to open new markets,G,G-Trade agreements to open new markets,Trade agreements to open new markets
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Government & Regulators,M,Government & RegulatorsLaw changes,G,G-Law changes,Law changes
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Semiconductor manufacturing,E,Semiconductor manufacturingStandard Setting,I,I-Standard Setting,Standard Setting
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingForums to define problems and approach,I,I-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Semiconductor manufacturing,M,Semiconductor manufacturingWorkforce development programs,I,I-Workforce development programs,Workforce development programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Education and Research Institutions,E,Education and Research InstitutionsSkills exchange programs,A,A-Skills exchange programs,Skills exchange programs
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsForums to define problems and approach,A,A-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Education and Research Institutions,M,Education and Research InstitutionsNew academic majors/research centers,A,A-New academic majors/research centers,New academic majors/research centers
Government & Regulators,G,M,G-Forums to define problems and approach,Forums to define problems and approach,Government & RegulatorsForums to define problems and approach,Industry Associations and Alliances,M,Industry Associations and AlliancesForums to define problems and approach,OAssoc,OAssoc-Forums to define problems and approach,Forums to define problems and approach
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,E,Semiconductor manufacturingRepurposing existing production lines,I,I-Repurposing existing production lines,Repurposing existing production lines
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,E,Semiconductor manufacturingIncrease manufacturing capacity,I,I-Increase manufacturing capacity,Increase manufacturing capacity
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,F,Semiconductor manufacturingDirect R&D Funding,I,I-Direct R&D Funding,Direct R&D Funding
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,F,Semiconductor manufacturingResearch Grants,I,I-Research Grants,Research Grants
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Semiconductor manufacturing,F,Semiconductor manufacturingSales of goods/services,I,I-Sales of goods/services,Sales of goods/services
Government & Regulators,G,M,G-Gauranteed purchases,Gauranteed purchases,Government & RegulatorsGauranteed purchases,Education and Research Institutions,E,Education and Research InstitutionsStartups/Spinoffs,A,A-Startups/Spinoffs,Startups/Spinoffs
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Government & Regulators,R,Government & RegulatorsData Sharing,G,G-Data Sharing,Data Sharing
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Government & Regulators,E,Government & RegulatorsOpen Government IP,G,G-Open Government IP,Open Government IP
Government & Regulators,G,M,G-Law changes,Law changes,Government & RegulatorsLaw changes,Semiconductor manufacturing,E,Semiconductor manufacturingStartups/Spinoffs,I,I-Startups/Spinoffs,Startups/Spinoffs
