source,target
G-National Strategy,G-Workforce development programs
G-National Strategy,G-Trade agreements to open new markets
G-National Strategy,G-Law changes
G-National Strategy,I-Lab Research
G-National Strategy,I-Data Sharing
G-National Strategy,A-Lab Research
G-National Strategy,A-Data Sharing
G-National Strategy,OAssoc-Data Sharing
G-National Strategy,OAssoc-Philanthropic donors
G-Regulatory approval and oversight,I-Repurposing existing production lines
G-Regulatory approval and oversight,I-Skills exchange programs
G-Regulatory approval and oversight,I-Venture Capital 
G-Regulatory approval and oversight,I-Stock sales
G-Regulatory approval and oversight,I-Shareholder advocacy
G-Regulatory approval and oversight,OAssoc-Philanthropic donors
G-Trade agreements to open new markets,I-Startups/Spinoffs
G-Trade agreements to open new markets,I-Repurposing existing production lines
G-Trade agreements to open new markets,I-Increase manufacturing capacity
G-Trade agreements to open new markets,I-Sales of goods/services
G-Trade agreements to open new markets,I-Joint Ventures
G-Trade agreements to open new markets,I-Advertising
G-Workforce development programs,A-New academic majors/research centers
G-Data Sharing,G-Lab Research
G-Data Sharing,G-Open Government IP
G-Data Sharing,I-Data Sharing
G-Data Sharing,I-Startups/Spinoffs
G-Data Sharing,I-Joint Ventures
G-Data Sharing,A-Data Sharing
G-Data Sharing,A-Startups/Spinoffs
G-Data Sharing,A-Joint Ventures
G-Data Sharing,OAssoc-Data Sharing
G-Lab Research,G-Open Government IP
G-Lab Research,I-Lab Research
G-Lab Research,A-Lab Research
IBuy-Increased purchases,I-Sales of goods/services
IBuy-Demand Pull,I-Collaborator Pull
IBuy-Demand Pull,I-Lab Research
IBuy-Demand Pull,I-Increase manufacturing capacity
IFin-Startups/Spinoffs,I-Margers & Acquisitions
IFin-Legal Advice ,I-Margers & Acquisitions
IFin-Legal Advice ,I-Startups/Spinoffs
IFin-Legal Advice ,I-Joint Ventures
IFin-Loans and debt financing,I-Repurposing existing production lines
IFin-Loans and debt financing,I-Increase manufacturing capacity
IFin-Venture Capital ,I-Lab Research
IFin-Venture Capital ,I-Repurposing existing production lines
IFin-Venture Capital ,I-Increase manufacturing capacity
IFin-Market Research,I-Collaborator pull
IFin-Market Research,I-Advertising
IFin-Market Research,I-Sales of goods/services
IFin-Shareholder advocacy,I-Direct R&D Funding
I-Increase manufacturing capacity,I-Sales of goods/services
I-Increase manufacturing capacity,I-Workforce development programs
I-Margers & Acquisitions,I-Increase manufacturing capacity
I-Margers & Acquisitions,I-Lab Research
I-Repurposing existing production lines,I-Sales of goods/services
I-Repurposing existing production lines,I-Workforce development programs
I-Startups/Spinoffs,I-Skills exchange programs
I-Startups/Spinoffs,A-Skills exchange programs
I-Direct R&D Funding,I-Lab Research
I-Sales of goods/services,I-Lab Research
I-Sales of goods/services,I-Increase manufacturing capacity
I-Stock sales,I-Lab Research
I-Stock sales,I-Repurposing existing production lines
I-Stock sales,I-Increase manufacturing capacity
I-Stock sales,I-Shareholder advocacy
I-Advertising,I-Sales of goods/services
I-Advertising,I-Collaborator pull
I-Collaborator pull,G-Skills exchange programs
I-Collaborator pull,G-Collaborator Pull
I-Collaborator pull,G-Forums to define problems and approach
I-Collaborator pull,G-Workforce development programs
I-Collaborator pull,G-Trade agreements to open new markets
I-Collaborator pull,I-Skills exchange programs
I-Collaborator pull,I-Forums to define problems and approach
I-Collaborator pull,A-Skills exchange programs
I-Collaborator pull,A-Collaborator pull
I-Collaborator pull,OAssoc-Philanthropic donors
I-Forums to define problems and approach,I-Skills exchange programs
I-Forums to define problems and approach,I-Standard Setting
I-Forums to define problems and approach,I-Joint Ventures
I-Forums to define problems and approach,I-Collaborator pull
I-Forums to define problems and approach,I-Workforce development programs
I-Forums to define problems and approach,A-Forums to define problems and approach
I-Forums to define problems and approach,A-New academic majors/research centers
I-Forums to define problems and approach,OAssoc-Forums to define problems and approach
I-Workforce development programs,I-Increase manufacturing capacity
I-Workforce development programs,A-New academic majors/research centers
I-Data Sharing,G-Data Sharing
I-Data Sharing,G-Standard Setting
I-Data Sharing,I-Lab Research
I-Data Sharing,I-Forums to define problems and approach
I-Data Sharing,A-Lab Research
I-Data Sharing,A-Data Sharing
I-Data Sharing,OAssoc-Data Sharing
I-Lab Research,G-Lab Research
I-Lab Research,I-Startups/Spinoffs
OAssoc-Skills exchange programs,G-Data Sharing
OAssoc-Skills exchange programs,G-Skills exchange programs
OAssoc-Skills exchange programs,I-Collaborator pull
OAssoc-Skills exchange programs,I-Forums to define problems and approach
OAssoc-Skills exchange programs,A-Data Sharing
OAssoc-Skills exchange programs,A-Skills exchange programs
OAssoc-Skills exchange programs,A-Joint Ventures
OAssoc-Skills exchange programs,A-New academic majors/research centers
OAssoc-Skills exchange programs,OAssoc-Data Sharing
OAssoc-Standard Setting,G-Infrastructure creation
OAssoc-Standard Setting,I-Repurposing existing production lines
OAssoc-Standard Setting,I-Increase manufacturing capacity
OAssoc-Standard Setting,I-Venture Capital 
OAssoc-Standard Setting,I-Joint Ventures
OAssoc-Standard Setting,I-Collaborator pull
OAssoc-Standard Setting,A-Startups/Spinoffs
OAssoc-Forums to define problems and approach,I-Lab Research
OAssoc-Forums to define problems and approach,I-Skills exchange programs
OAssoc-Forums to define problems and approach,I-Standard Setting
OAssoc-Forums to define problems and approach,I-Joint Ventures
OAssoc-Forums to define problems and approach,I-Collaborator pull
OAssoc-Forums to define problems and approach,I-Workforce development programs
OAssoc-Forums to define problems and approach,A-Forums to define problems and approach
OAssoc-Forums to define problems and approach,A-New academic majors/research centers
OAssoc-Forums to define problems and approach,OAssoc-Forums to define problems and approach
OAssoc-Data Sharing,G-Data Sharing
OAssoc-Data Sharing,I-Lab Research
OAssoc-Data Sharing,I-Data Sharing
OAssoc-Data Sharing,A-Lab Research
OAssoc-Data Sharing,A-Data Sharing
OAssoc-Data Sharing,A-Collaborator pull
I-Skills exchange programs,IBuy-Increased purchases
I-Joint Ventures,IBuy-Demand Pull
OAssoc-Philanthropic donors,IFin-Startups/Spinoffs
I-Standard Setting,IFin-Legal Advice 
I-Shareholder advocacy,IFin-Loans and debt financing
I-Venture Capital ,IFin-Venture Capital 
I-Research Grants,IFin-Market Research
I-Loans and debt financing,IFin-Shareholder advocacy
I-Research Grants,OAssoc-Skills exchange programs
I-Loans and debt financing,OAssoc-Standard Setting
